Agency Name,Position Title,YTD Gross Pay,Cluster
AGRICULTURE,AGRIBUSINESS MANAGER,75080.87,1
AGRICULTURE,AGRIBUSINESS MANAGER,74384.14,1
AGRICULTURE,AGRIBUSINESS MANAGER,64246.75,1
AGRICULTURE,AGRIBUSINESS MANAGER,74910.76,1
AGRICULTURE,AGRIBUSINESS MANAGER,72977.86,1
AGRICULTURE,AGRIBUSINESS MANAGER,73030.36,1
AGRICULTURE,AGRIBUSINESS MANAGER,78319.91,1
AGRICULTURE,AGRIBUSINESS MANAGER,72659.46,1
AGRICULTURE,AGRIBUSINESS MANAGER,74884.97,1
AGRICULTURE,AGRIBUSINESS MANAGER,34321.93,1
AGRICULTURE,AGRIBUSINESS MANAGER,75334.26,1
AGRICULTURE,AGRIBUSINESS MANAGER,64667.2,1
AGRICULTURE,AGRIBUSINESS MANAGER,33351.74,1
AGRICULTURE,AGRIBUSINESS SUPERVISOR,60807.15,1
AGRICULTURE,AGRIBUSINESS SUPERVISOR,63312.17,1
AGRICULTURE,AGRIBUSINESS SUPERVISOR,57779.0,1
AGRICULTURE,AGRICULTURAL INSPECTOR,24268.22,1
AGRICULTURE,AGRICULTURAL INSPECTOR,36458.13,1
AGRICULTURE,AGRICULTURAL INSPECTOR,33223.82,1
AGRICULTURE,AGRICULTURAL INSPECTOR,1522.74,1
AGRICULTURE,AGRICULTURAL INSPECTOR,44786.92,1
AGRICULTURE,AGRICULTURAL INSPECTOR,21108.3,1
AGRICULTURE,AGRICULTURAL INSPECTOR,45355.42,1
AGRICULTURE,AGRICULTURAL INSPECTOR,10137.92,1
AGRICULTURE,AGRICULTURAL INSPECTOR,38400.61,1
AGRICULTURE,AGRICULTURAL INSPECTOR,6993.72,1
AGRICULTURE,AGRICULTURAL INSPECTOR,24482.26,1
AGRICULTURE,AGRICULTURAL INSPECTOR,17499.56,1
AGRICULTURE,AGRICULTURAL INSPECTOR,14299.92,1
AGRICULTURE,AGRICULTURAL INSPECTOR,22622.89,1
AGRICULTURE,AGRICULTURAL INSPECTOR,42391.78,1
AGRICULTURE,AGRICULTURAL INSPECTOR,46271.14,1
AGRICULTURE,AGRICULTURAL INSPECTOR,35513.09,1
AGRICULTURE,AGRICULTURAL MARKET SPECIALIST,42796.05,1
AGRICULTURE,AGRICULTURAL MARKET SPECIALIST,42792.61,1
AGRICULTURE,AGRICULTURAL MARKET SPECIALIST,49949.96,1
AGRICULTURE,AGRICULTURAL MARKET SPECIALIST,27911.4,1
AGRICULTURE,AGRICULTURAL MARKET SPECIALIST,26036.4,1
AGRICULTURE,AGRICULTURAL MARKET SPECIALIST,40123.34,1
AGRICULTURE,AUDITOR SUPERVISOR,61467.99,1
AGRICULTURE,AUDITOR SUPERVISOR,61465.35,1
AGRICULTURE,AUDITOR,56206.25,1
AGRICULTURE,AUDITOR,46788.73,1
AGRICULTURE,AUDITOR,47336.46,1
AGRICULTURE,AUDITOR,49586.82,1
AGRICULTURE,AUDITOR,53128.5,1
AGRICULTURE,AUDITOR,38785.55,1
AGRICULTURE,AUDITOR,53128.89,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,57796.2,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,56886.35,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,7250.01,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,33493.68,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,33862.17,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,55849.4,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,44058.31,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,41755.55,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,10950.8,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,55849.64,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,69563.82,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,40140.0,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,20844.09,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,17229.41,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,69378.13,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,55849.4,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,65965.13,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,56819.91,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,6948.03,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,57837.49,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,41238.7,1
AGRICULTURE,CONSUMER PROTECTIONS COORD,43604.76,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,47267.43,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,43907.01,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,46129.05,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,47003.37,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,46129.05,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,43907.01,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,56001.71,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,47306.81,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,3691.18,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,23190.85,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,56001.71,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,24704.72,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,56001.71,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,44587.72,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,53517.24,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,47495.86,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,16305.21,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,43907.01,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,47003.37,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,47003.37,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,26220.05,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,45624.67,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,9103.9,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,23250.01,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,40536.39,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,14967.87,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,3641.56,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,47766.14,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,18207.8,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,53517.24,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,30082.27,1
AGRICULTURE,CONSUMER PROTECTIONS SPEC,46129.05,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,4319.43,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,40668.67,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,15303.2,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,51785.1,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,46294.39,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,47760.62,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,47551.09,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,52659.53,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,46128.57,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,49686.62,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,21072.5,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,2632.86,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,49915.24,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,49448.94,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,46571.81,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,22802.9,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,52450.99,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,35042.95,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,49915.24,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,11611.5,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,53459.33,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,46294.39,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,52659.53,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,47454.29,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,47514.43,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,46758.05,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,48169.63,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,47003.37,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,49915.24,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,51785.1,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,25069.26,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,47003.37,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,53164.96,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,52779.13,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,47566.92,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,46129.05,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,7673.67,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,49095.77,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,36918.19,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,18028.27,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,52450.99,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,49095.77,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,19057.32,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,40668.67,1
AGRICULTURE,CONSUMER PROTECTIONS TECH,52450.99,1
AGRICULTURE,DEPUTY DIVISION DIRECTOR,105488.32,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DEPT,9236.25,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DEPT,26048.19,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DEPT,25618.02,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,57577.99,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,64426.57,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,102442.62,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,53054.72,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,56124.63,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,52325.72,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,58241.4,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,36883.67,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,57334.66,1
AGRICULTURE,DESIGNATED PRINCIPAL ASST DIV,24666.66,1
AGRICULTURE,EMERGENCY MANAGEMENT SPV,85303.95,1
AGRICULTURE,ENGNG SURVEYING & FIELD TECH,51379.4,1
AGRICULTURE,ENGNG SURVEYING & FIELD TECH,54409.24,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,450.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,750.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,2000.0,1
AGRICULTURE,FAIR EVENT WORKER,1083.33,1
AGRICULTURE,FAIR EVENT WORKER,3250.0,1
AGRICULTURE,FAIR EVENT WORKER,600.0,1
AGRICULTURE,FAIR EVENT WORKER,1025.0,1
AGRICULTURE,FAIR EVENT WORKER,750.0,1
AGRICULTURE,FAIR EVENT WORKER,2400.0,1
AGRICULTURE,FAIR EVENT WORKER,600.0,1
AGRICULTURE,FAIR EVENT WORKER,250.0,1
AGRICULTURE,FAIR EVENT WORKER,900.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,1050.0,1
AGRICULTURE,FAIR EVENT WORKER,250.0,1
AGRICULTURE,FAIR EVENT WORKER,3250.0,1
AGRICULTURE,FAIR EVENT WORKER,3500.0,1
AGRICULTURE,FAIR EVENT WORKER,2500.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1050.0,1
AGRICULTURE,FAIR EVENT WORKER,7000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,660.0,1
AGRICULTURE,FAIR EVENT WORKER,660.0,1
AGRICULTURE,FAIR EVENT WORKER,450.0,1
AGRICULTURE,FAIR EVENT WORKER,1100.0,1
AGRICULTURE,FAIR EVENT WORKER,1200.0,1
AGRICULTURE,FAIR EVENT WORKER,450.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,350.0,1
AGRICULTURE,FAIR EVENT WORKER,4000.0,1
AGRICULTURE,FAIR EVENT WORKER,5000.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,4100.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1400.0,1
AGRICULTURE,FAIR EVENT WORKER,125.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,2000.0,1
AGRICULTURE,FAIR EVENT WORKER,450.0,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,650.0,1
AGRICULTURE,FAIR EVENT WORKER,400.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,3250.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,800.0,1
AGRICULTURE,FAIR EVENT WORKER,800.0,1
AGRICULTURE,FAIR EVENT WORKER,330.0,1
AGRICULTURE,FAIR EVENT WORKER,700.0,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,1800.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1800.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,3500.0,1
AGRICULTURE,FAIR EVENT WORKER,7000.0,1
AGRICULTURE,FAIR EVENT WORKER,2400.0,1
AGRICULTURE,FAIR EVENT WORKER,700.0,1
AGRICULTURE,FAIR EVENT WORKER,3425.0,1
AGRICULTURE,FAIR EVENT WORKER,125.0,1
AGRICULTURE,FAIR EVENT WORKER,3100.0,1
AGRICULTURE,FAIR EVENT WORKER,250.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,7500.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,700.0,1
AGRICULTURE,FAIR EVENT WORKER,800.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,600.0,1
AGRICULTURE,FAIR EVENT WORKER,600.0,1
AGRICULTURE,FAIR EVENT WORKER,600.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,750.0,1
AGRICULTURE,FAIR EVENT WORKER,450.0,1
AGRICULTURE,FAIR EVENT WORKER,450.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,500.0,1
AGRICULTURE,FAIR EVENT WORKER,750.0,1
AGRICULTURE,FAIR EVENT WORKER,1100.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,800.0,1
AGRICULTURE,FAIR EVENT WORKER,1250.0,1
AGRICULTURE,FAIR EVENT WORKER,500.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,600.0,1
AGRICULTURE,FAIR EVENT WORKER,400.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1400.0,1
AGRICULTURE,FAIR EVENT WORKER,1700.0,1
AGRICULTURE,FAIR EVENT WORKER,1700.0,1
AGRICULTURE,FAIR EVENT WORKER,500.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,3250.0,1
AGRICULTURE,FAIR EVENT WORKER,650.0,1
AGRICULTURE,FAIR EVENT WORKER,500.0,1
AGRICULTURE,FAIR EVENT WORKER,2200.0,1
AGRICULTURE,FAIR EVENT WORKER,400.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,250.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,75.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,400.0,1
AGRICULTURE,FAIR EVENT WORKER,1000.0,1
AGRICULTURE,FAIR EVENT WORKER,4000.0,1
AGRICULTURE,FAIR EVENT WORKER,1000.0,1
AGRICULTURE,FAIR EVENT WORKER,400.0,1
AGRICULTURE,FAIR EVENT WORKER,1450.0,1
AGRICULTURE,FAIR EVENT WORKER,650.0,1
AGRICULTURE,FAIR EVENT WORKER,1600.0,1
AGRICULTURE,FAIR EVENT WORKER,500.0,1
AGRICULTURE,FAIR EVENT WORKER,350.0,1
AGRICULTURE,FAIR EVENT WORKER,250.0,1
AGRICULTURE,FAIR EVENT WORKER,1000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,2000.0,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,350.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,100.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,8000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1600.0,1
AGRICULTURE,FAIR EVENT WORKER,375.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,1100.0,1
AGRICULTURE,FAIR EVENT WORKER,4000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,930.0,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,300.0,1
AGRICULTURE,FAIR EVENT WORKER,325.0,1
AGRICULTURE,FAIR EVENT WORKER,125.0,1
AGRICULTURE,FAIR EVENT WORKER,5000.0,1
AGRICULTURE,FAIR EVENT WORKER,1400.0,1
AGRICULTURE,FAIR EVENT WORKER,1750.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,600.0,1
AGRICULTURE,FAIR EVENT WORKER,9000.0,1
AGRICULTURE,FAIR EVENT WORKER,200.0,1
AGRICULTURE,FAIR EVENT WORKER,1500.0,1
AGRICULTURE,FAIR EVENT WORKER,3000.0,1
AGRICULTURE,FAIR EVENT WORKER,7500.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,476.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1241.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1292.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,817.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,210.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,405.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1125.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1263.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1263.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1278.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1005.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1184.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,322.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,978.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1125.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,247.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1215.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,172.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,3026.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1320.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1293.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1233.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,2201.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,2201.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1290.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,813.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,464.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,780.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,405.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1481.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1365.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1458.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1462.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1462.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,847.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1837.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,975.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1586.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1693.13,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1286.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1286.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,615.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,930.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1398.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1286.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1286.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1080.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1876.88,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1312.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,2028.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1215.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1286.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,892.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1072.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1342.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,720.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1237.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,945.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1200.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1136.25,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1113.75,1
AGRICULTURE,FAIR WEEK EMPLOYEE,1282.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,960.0,1
AGRICULTURE,FAIR WEEK EMPLOYEE,907.5,1
AGRICULTURE,FAIR WEEK EMPLOYEE,800.0,1
